,Global factor,Financial Factor
1/1/59,7.988605473,-1.520473146
4/1/59,4.868387756,-0.868804595
7/1/59,-4.533052882,-0.094775718
10/1/59,3.542042205,0.224130057
1/1/60,2.007192922,0.338560066
4/1/60,-3.399848738,0.531407906
7/1/60,-5.085305061,-0.140180619
10/1/60,-6.744821736,-1.362187349
1/1/61,-2.554015682,-1.876972258
4/1/61,2.725991117,-2.520853226
7/1/61,3.571620705,-2.982532914
10/1/61,4.216714679,-1.571391076
1/1/62,2.643982523,-1.490147581
4/1/62,1.085979385,-0.932345407
7/1/62,0.658669808,-0.73333529
10/1/62,0.1852211,-0.517565189
1/1/63,0.99628161,-0.54181959
4/1/63,1.88108083,-0.783701129
7/1/63,1.473151592,-0.330836578
10/1/63,1.611328213,-0.355281899
1/1/64,2.473318607,-0.572140047
4/1/64,2.398500247,-0.638792304
7/1/64,2.584511538,-0.774082362
10/1/64,3.95071228,-0.663406799
1/1/65,4.474593707,0.000270883
4/1/65,3.853443446,0.159775438
7/1/65,3.974080123,0.028588214
10/1/65,5.409759349,-0.212334439
1/1/66,5.24877127,0.021359136
4/1/66,3.712135098,0.612220661
7/1/66,1.911512445,0.924479429
10/1/66,-1.097403345,1.335154132
1/1/67,-1.480089993,0.700889606
4/1/67,-0.773651276,-1.10097389
7/1/67,1.764423169,-2.162230186
10/1/67,3.592976295,-2.412853667
1/1/68,2.00142013,-1.201019545
4/1/68,1.915569872,0.799646301
7/1/68,1.939804056,1.205833366
10/1/68,2.874890975,0.67020143
1/1/69,2.724012988,1.130704514
4/1/69,0.840157513,4.37929888
7/1/69,0.039955833,4.87687867
10/1/69,-2.670821916,4.090938267
1/1/70,-5.099195801,3.155645203
4/1/70,-4.417768776,1.460959967
7/1/70,-5.1384974,-0.647292172
10/1/70,-3.410351301,-1.785256281
1/1/71,-0.363316411,-3.425249059
4/1/71,0.980053282,-2.475769427
7/1/71,1.452543424,-1.101382756
10/1/71,3.15845778,-1.596791058
1/1/72,5.229741661,-3.980453154
4/1/72,3.012624138,-2.626405693
7/1/72,4.148079019,-1.993123998
10/1/72,6.216811091,-1.430675261
1/1/73,5.025541583,0.825148843
4/1/73,1.741032802,2.961327821
7/1/73,1.5339,7.370012274
10/1/73,-0.558266976,6.84868776
1/1/74,-1.258585762,5.143860321
4/1/74,-1.213370965,7.951526952
7/1/74,-5.348433699,8.908561587
10/1/74,-13.29681718,4.178755644
1/1/75,-13.15284883,-1.128927372
4/1/75,-1.882368681,-3.539575756
7/1/75,4.009618556,-2.496971023
10/1/75,3.959670212,-3.472195109
1/1/76,4.824217302,-3.896006791
4/1/76,1.446010835,-2.895316225
7/1/76,1.59495842,-2.484398385
10/1/76,2.727378324,-2.32518543
1/1/77,4.801539108,-2.946184851
4/1/77,4.692171234,-2.068763542
7/1/77,3.0503667,-0.877729843
10/1/77,3.271566605,-0.203351751
1/1/78,3.691958198,-0.698363853
4/1/78,5.543222387,-0.518186946
7/1/78,2.712816614,0.600496087
10/1/78,3.640435887,2.559738746
1/1/79,0.30628573,2.758506367
4/1/79,0.271293381,2.722505931
7/1/79,-0.709186829,4.223834508
10/1/79,-1.217702497,6.619940898
1/1/80,-3.272121829,6.417400224
4/1/80,-12.32693675,4.533072809
7/1/80,0.992416987,-1.890180456
10/1/80,3.093709265,6.857753576
1/1/81,-0.671676272,7.370701032
4/1/81,-0.308669129,8.319638922
7/1/81,-2.786172377,6.100796343
10/1/81,-7.936098018,-0.159852107
1/1/82,-5.522070833,0.667396722
4/1/82,-5.891352952,2.137668017
7/1/82,-6.118347842,-3.034169646
10/1/82,-4.477313465,-1.845002567
1/1/83,1.3773887,-2.61742192
4/1/83,4.726444477,-1.898921653
7/1/83,6.492967593,-2.199081536
10/1/83,5.199002762,-2.119683929
1/1/84,5.631492018,-1.764779453
4/1/84,3.78571192,-2.182595486
7/1/84,0.753005461,-0.155251831
10/1/84,0.654023506,-2.3636266
1/1/85,0.459076743,-3.545275316
4/1/85,-0.651728334,-3.324168465
7/1/85,0.184146068,-2.389671452
10/1/85,0.126671715,-1.120422382
1/1/86,-0.909845496,0.363415489
4/1/86,-0.514398398,0.158645482
7/1/86,0.218548865,-0.629063991
10/1/86,0.840342421,-0.202629982
1/1/87,1.919880163,0.096613016
4/1/87,2.154897083,-0.823145732
7/1/87,3.041402837,-1.436995025
10/1/87,2.276326256,-1.906059781
1/1/88,1.095571974,-1.155138846
4/1/88,1.482345427,-1.0449627
7/1/88,0.506766487,0.012186294
10/1/88,1.869682916,1.152561484
1/1/89,0.159211205,2.403281511
4/1/89,-1.77397018,3.558437045
7/1/89,-1.929208276,3.510143986
10/1/89,-1.042806432,2.934277605
1/1/90,1.258810149,1.487664162
4/1/90,-1.925075527,1.26297093
7/1/90,-3.513957834,1.406731427
10/1/90,-6.174801012,1.253765152
1/1/91,-6.08799139,-0.33674245
4/1/91,-1.484251839,-1.321751051
7/1/91,-1.180602384,-1.161216529
10/1/91,-2.773620869,-1.443102823
1/1/92,-0.345385514,-2.607560017
4/1/92,-0.144456053,-2.977986677
7/1/92,-0.802851128,-2.606423057
10/1/92,0.98502496,-3.258769481
1/1/93,0.18227719,-2.450791038
4/1/93,0.033562622,-1.986357411
7/1/93,0.819220757,-1.185695546
10/1/93,2.434070277,-1.384804655
1/1/94,1.954429604,-1.791839823
4/1/94,3.072795671,-2.416590235
7/1/94,2.624760737,-2.097423204
10/1/94,3.244674117,-2.071083726
1/1/95,0.081031627,-0.5186554
4/1/95,-1.094494132,1.147483668
7/1/95,0.536187501,0.984997204
10/1/95,-0.18741486,1.50929801
1/1/96,0.230039371,0.719048689
4/1/96,2.164142188,-1.042363699
7/1/96,1.512875039,-1.08074159
10/1/96,1.168546811,-0.461127747
1/1/97,1.925643731,-0.972581851
4/1/97,1.606318093,-0.888874714
7/1/97,2.455879483,-0.164340942
10/1/97,2.256374751,0.309245516
1/1/98,1.048232337,0.85160377
4/1/98,-0.019369994,0.838549118
7/1/98,0.404415673,1.522868299
10/1/98,0.604858456,1.009707673
1/1/99,0.766342574,0.430189693
4/1/99,0.257922099,-0.3313927
7/1/99,0.624021777,-0.206665717
10/1/99,1.882400293,-0.163982583
1/1/00,1.55279361,0.078501236
4/1/00,-0.589130816,1.605704
7/1/00,-1.815465764,2.743775937
10/1/00,-2.630039323,3.422289111
1/1/01,-4.430430674,3.039719077
4/1/01,-5.468393423,0.697078035
7/1/01,-6.058170524,-0.124420444
10/1/01,-5.431652923,-2.022117384
1/1/02,-2.128799914,-2.819886609
4/1/02,-1.197320224,-2.704940839
7/1/02,-2.328422878,-1.272232809
10/1/02,-2.589984662,-1.423180871
1/1/03,-2.672308262,-1.386680911
4/1/03,-2.581031499,-0.528865852
7/1/03,-0.694998201,-1.961707164
10/1/03,0.405831188,-2.119723774
1/1/04,0.226250431,-1.689225185
4/1/04,0.813874411,-2.87178446
7/1/04,0.577966788,-1.80769612
10/1/04,0.676610407,-0.845370892
1/1/05,0.919141277,-0.211215083
4/1/05,0.635619036,0.625773503
7/1/05,0.037141202,1.293602596
10/1/05,1.074279866,1.433812116
1/1/06,1.324638997,2.007553045
4/1/06,-0.350811592,1.843878589
7/1/06,-0.861654336,2.709640776
10/1/06,-0.763289037,3.19194509
1/1/07,-0.035296826,3.213215446
4/1/07,-0.823716757,3.068141378
7/1/07,-2.086549929,3.076487238
10/1/07,-2.119660537,3.112822938
1/1/08,-4.793374134,1.932422188
4/1/08,-5.141923741,-0.13566191
7/1/08,-9.240173087,0.081007755
10/1/08,-14.25298121,-1.923729566
1/1/09,-14.26635447,-1.339134253
4/1/09,-8.851544851,-2.069949291
7/1/09,-2.496201211,-1.976936842
10/1/09,-1.882654109,-1.751580945
1/1/10,0.613555684,-2.013278295
4/1/10,1.314686515,-1.543235904
7/1/10,-0.22474318,-0.46907134
10/1/10,-0.143720779,-0.748013159
1/1/11,0.451049817,-1.739831375
4/1/11,0.350909882,-1.569805043
7/1/11,0.309100829,-0.46510709
10/1/11,0.945520654,0.077387808
1/1/12,1.02001481,0.076000675
4/1/12,-0.64912983,0.428772801
7/1/12,-0.564738991,0.763334418
10/1/12,0.406066523,0.741749493
1/1/13,0.047423349,0.254809241
4/1/13,-0.359958578,0.124355841
