date,AAASPR,BAASPR,CAPUTIL,COMMCRB,CONSGOVT,CONSPRIV,CONSSENT,CPAPERSPR,DEBTGOVT,DISPINC,DIVYIELD,EARNINGS,ECONSENT,EMPL,EXCHTRW,EXPORT,FEDFUNDS,GDP,HOURS,HOUSEPERMIT,HOUSEPRICE,HOUSESTART,IMPORT,INDPRO,INVENTO,INVESTM,LIABCORP,LIABHH,LOANSCORP,LOANSHH,NWCORP,NWHH,ORDERNEW,ORDERUNFIL,PCEPRICE,PMI,RETAIL,SHORTSPR,STOCKPRICE,STOCKVOL,TERMSPR,ULC,UNRATE,VXO
01apr1975,.82329941,2.5799999,74.425797,-.038180657,-.84871203,1.6314878,69.30000000000001,.43000001,.74213219,4.5218606,-.48699999,-.36749056,-17.6,-.54466933,.74582636,-2.9584794,-.88329983,.71200377,-.92624909,23.087702,.47804824,9.2544031,-8.3405075,-1.3593982,-1.5189996,-3.0223053,0,.45100763,-3.6336997,-2.2333486,1.6756634,2.6593549,-1.3828135,-6.0946689,-.4270477,41.26666666666667,3.3248942,-.02670002,12.237788,.18686676,2.6567001,.52281421,.60000038,19.888
01jul1975,.61660004,2.2866001,75.8675,.12865463,1.8508381,1.4112383,82.40000000000001,.23999999,.10225677,-1.4643357,.085299969,.12922013,24.76666666666667,.67107689,4.2221246,-1.701298,.73999977,1.6971745,.90726852,12.144468,-1.0203899,15.455076,7.9858379,2.4259183,-.34977138,7.4667187,.64103484,1.2516389,-3.0678921,-1.053321,-1.0220361,-1.5697591,7.308403,-3.2188222,-.019047173,51,3.7433856,.17000008,-1.6412734,-.21634245,1.9666996,.53638029,-.40000057,22.268801
01oct1975,.74670029,2.5166998,77.0905,-.096737027,.87227207,1.0695916,85.65000000000001,.38,.34967041,.77868825,-.099500179,.048613142,37.53333333333333,.90053642,1.0978813,5.4997907,-.74669981,1.3375282,1.709384,6.8732929,.019076215,7.0769134,5.200315,2.1576104,-.35758686,2.7531099,-.32000759,1.5311314,-1.7445042,.25663638,.33825767,1.2910833,-2.0718675,-3.521981,.12394178,54.96666666666667,1.9434537,.21339989,1.6861626,.016881928,2.4366002,1.5225879,-.16669941,18.7285
01jan1976,.80339956,2.5033994,78.975098,.022263426,.15711601,1.9796644,101,.25999999,.25503159,1.2003251,-.43519974,.058631524,22.56666666666667,1.3309107,.046395041,-.69270492,-.58659983,2.2238462,1.6317296,7.3652911,-.51642722,7.2118354,6.0765123,3.0289397,1.2204185,9.2110882,1.5898647,-.26975703,-2.3335333,.69133586,1.834515,1.8372706,7.9585509,-2.3448262,-.10654961,59.56666666666666,3.380867,.089999676,11.045004,.468209,2.8366003,.42965868,-.56669998,18.6859
01apr1976,.76000023,2.1233997,79.457901,.11590382,-1.1188589,.91584074,92,.30000001,.50951004,.56635624,-.029099941,.41997251,37.86666666666667,.68009216,1.1219621,1.002997,.36999989,.73101604,.03976718,-.99109536,2.8125584,.53026623,4.239748,1.2699203,1.8527356,3.8816617,1.2539337,2.1991382,-2.8934598,1.2693193,2.5585761,1.6881083,3.44525,-.15068682,-.31752038,59.2,2.2969222,-.039999962,2.101265,-.19674377,2.6166,.93036717,-.16660023,16.667601
01jul1976,.73329973,1.8899999,79.970901,-.09613134,-.29305458,1.0473557,94.59999999999999,.25999999,.14868927,.77719712,-.015200138,.35774544,23.23333333333333,.48751283,-.57541192,2.8642743,.086599827,.54722381,.39830342,13.825138,.12577352,7.1427193,3.9988346,1.3279548,1.5440066,.34785801,1.5456244,1.5347196,-.60510254,1.134849,1.1105191,.29062441,2.4564471,-.5064972,.36282566,54.66666666666666,1.4781424,-.13329983,2.6219316,-.11466089,2.5799999,1.8351529,.16660023,16.229099
01oct1976,.99329996,2.0232997,80.848999,.027236149,-.061329082,1.2891394,93,.23999999,.14419937,.63244724,.22110009,.32317033,16.53333333333333,.60698825,.6904732,1.0094305,-.40999985,.72222799,.53923738,10.171074,-.55083358,8.2756233,3.2558818,1.7876865,1.1170382,.74534065,-.30721962,1.7920289,.54806376,1.3303101,.48359099,1.0722619,2.7249534,.5641253,-.00058705057,53.93333333333334,2.5403447,-.20000029,-1.6752642,.062979229,2.5167003,1.8173456,.033399582,16.507799
01jan1977,.68000031,1.7533998,81.938904,.082032382,.8464669,1.1718,97.59999999999999,.11,-.13616943,.22448108,.18869996,.11202529,33.2,1.0213739,.32109514,-1.6221874,-.21330023,1.1745708,1.0533276,4.7862296,1.5052503,8.6600704,4.6253328,2.0535693,.87906271,4.5288644,1.2232556,.27341384,.26546198,2.0383112,1.1318107,-.022179838,2.9264557,-.010800442,.11378281,56.06666666666666,3.0904558,-.029999733,-.78277838,.038254742,2.7233,1.2387075,-.26669979,14.9735
01apr1977,.64330006,1.6267004,83.841599,-.058376882,.91080201,.5407784,95.65000000000001,.30000001,-.84714127,.93551338,.27400017,.35271797,34.1,1.3221223,-.39685285,2.6591132,.49670029,1.925451,1.8917266,8.0731869,3.0068622,3.9512711,.91781592,3.0514884,1.0837395,6.9237981,.60606188,2.8294675,.8145088,3.0420308,1.2539657,1.154268,3.1923511,.76682019,-.14819281,57.79999999999999,2.7220867,-.31669998,-2.7553954,-.038735662,2.5299997,1.6149049,-.36670017,15.2592
01jul1977,.59000015,1.4733,84.070702,-.089791082,.40079468,.94111729,97.63333333333333,.25,.18369293,1.3800125,.19799995,.0062299776,17.6,1.2655838,-.60718161,.77282447,.66330004,1.7882676,1.0651271,1.1936448,.70003277,4.6006541,-1.4033974,1.0738086,1.763496,4.9364066,2.0927572,2.4558196,1.0994325,2.7758889,1.462196,.39037171,1.7568238,1.9266132,.12992349,55.5,1.4351054,-.32330036,-.9876669,-.023827121,1.8600001,.88358128,-.23329973,14.5599
