,NFCI,Real Activity Indicator
26665,0.46,2.337869288
26755,0.91,0.741344467
26846,1.67,-0.11660095
26938,1.79,0.405364451
27030,0.71,-1.101700772
27120,2.64,-0.909670706
27211,4.24,-2.065850324
27303,2.57,-6.498772779
27395,0.94,-5.840345138
27485,-0.29,-1.134260444
27576,-0.5,1.955183105
27668,-0.25,2.231237219
27760,-0.81,2.446782661
27851,-0.75,1.623569796
27942,-0.84,1.04573346
28034,-0.8,1.361878069
28126,-0.88,2.22609219
28216,-0.62,2.161585528
28307,-0.44,0.749506359
28399,-0.17,0.70518337
28491,-0.11,1.280449852
28581,0.38,2.293521119
28672,0.54,1.355784217
28764,1.54,1.089244066
28856,0.83,0.110594975
28946,0.58,-0.312545554
29037,1.36,-1.079815367
29129,2.16,-1.011197694
29221,2.22,-1.928881892
29312,2.79,-5.646411137
29403,0.93,-0.968284328
29495,2.22,2.195489557
29587,2.24,-0.317009574
29677,2.32,0.007157834
29768,3.1,-1.123107692
29860,2.35,-3.717877316
29952,1.87,-2.71734862
30042,2.27,-2.470565434
30133,2.84,-2.172586301
30225,1.48,-1.405533776
30317,0.14,1.389859786
30407,-0.14,2.557222812
30498,-0.11,3.587495321
30590,0.02,3.659906486
30682,-0.14,2.391071663
30773,0.6,1.736390931
30864,0.66,0.218564386
30956,-0.03,-0.109549618
31048,-0.41,-0.011660305
31138,-0.43,-0.355872417
31229,-0.3,-0.268691669
31321,-0.3,0.251898345
31413,-0.27,-0.121345562
31503,-0.4,-0.283400419
31594,-0.35,0.24371237
31686,-0.43,0.508822616
31778,-0.42,0.82935456
31868,0.25,1.339163334
31959,0.02,1.886598916
32051,0.76,1.888759642
32143,0.21,0.954428176
32234,0.16,0.691679379
32325,0.27,0.806862737
32417,0.12,0.830901632
32509,0.3,0.190917238
32599,0.39,-0.945436272
32690,0.19,-1.155707073
32782,0.08,-0.337751176
32874,0.02,-0.155495146
32964,-0.04,-0.32561192
33055,0.04,-1.701207397
33147,0.37,-3.214356094
33239,0.13,-2.603703712
33329,-0.26,-0.376712988
33420,-0.47,0.620963917
33512,-0.55,-0.686586829
33604,-0.61,0.018139038
33695,-0.76,0.869399728
33786,-0.8,0.410796263
33878,-0.63,0.437755133
33970,-0.83,0.86401772
34060,-0.9,-0.105227591
34151,-1,0.115935703
34243,-0.91,1.309698096
34335,-0.89,1.465165308
34425,-0.68,1.618041082
34516,-0.72,1.466321539
34608,-0.5,1.578708441
34700,-0.55,0.432654875
34790,-0.65,-0.632892034
34881,-0.64,0.090581564
34973,-0.68,0.058457184
35065,-0.7,0.09897512
35156,-0.64,1.053169082
35247,-0.66,0.628252164
35339,-0.68,0.857047293
35431,-0.64,1.03063056
35521,-0.61,0.935929782
35612,-0.61,1.54394823
35704,-0.47,1.202957494
35796,-0.59,0.338187494
35886,-0.59,-0.008867003
35977,-0.39,0.138095285
36069,-0.02,0.088259144
36161,-0.3,0.499875898
36251,-0.41,0.801459178
36342,-0.18,0.765127684
36434,-0.14,1.535077639
36526,-0.21,0.928414468
36617,-0.04,0.159695095
36708,-0.19,-0.542960049
36800,-0.15,-1.398276892
36892,-0.23,-2.844423544
36982,-0.37,-2.770985567
37073,-0.44,-2.302122965
37165,-0.32,-2.19914095
37257,-0.44,0.054587851
37347,-0.59,0.747568897
37438,-0.37,-0.400681787
37530,-0.37,-0.515840826
37622,-0.45,-0.642711199
37712,-0.69,-0.706775577
37803,-0.65,0.387272631
37895,-0.69,1.06122261
37987,-0.79,1.120457157
38078,-0.74,1.063775851
38169,-0.71,0.897061572
38261,-0.73,1.238180535
38353,-0.73,1.012138162
38443,-0.63,0.09199879
38534,-0.63,-0.201377593
38626,-0.61,1.072493107
38718,-0.66,0.70891801
38808,-0.66,0.081071077
38899,-0.63,-0.051678885
38991,-0.68,-0.25661698
39083,-0.72,0.268744965
39173,-0.64,0.21413978
39264,-0.05,-0.3282523
39356,0.32,-0.467407525
39448,0.6,-1.723914636
39539,0.59,-2.731552247
39630,0.89,-4.457861566
39722,2.75,-7.85825165
39814,1.84,-6.798977595
39904,0.91,-3.035750371
39995,0.28,0.382867305
40087,-0.02,1.205677614
40179,-0.27,1.579311685
40269,-0.26,1.644524746
40360,-0.27,0.568564487
40452,-0.42,0.672932011
40544,-0.48,1.113222811
40634,-0.5,0.419405349
40725,-0.15,0.1917521
40817,0.01,0.515259735
40909,-0.34,0.615281022
41000,-0.37,-0.339074093
41091,-0.48,-0.43057288
41183,-0.63,-0.229124373
41275,-0.73,0.097352604
41365,-0.75,-0.354405796
41456,-0.72,0.286801582
41548,-0.87,0.540755994
41640,-0.9,0.616843172
41730,-0.93,1.000298269
41821,-0.91,0.536602003
41913,-0.81,0.255075972
42005,-0.71,-1.047630433
42095,-0.8,-0.824929178
42186,-0.72,-0.827532009
42278,-0.71,-1.451782354
42370,-0.61,-0.980728544
42461,-0.67,-0.310480915
42552,-0.65,-0.02867165
