,NFCI,NFCI Leverage,NFCI Credit,NFCI Nonfinancial Leverage,NFCI Risk
26665,0.476923077,1.374615385,-0.954615385,0,0.66
26755,1.011538462,2.216923077,-0.656153846,0.352307692,1.216923077
26846,1.762307692,2.398461538,0.313076923,0.551538462,1.903846154
26938,1.971538462,2.506923077,1.075384615,0.619230769,1.993076923
27030,0.825384615,2.685384615,0.8,0.608461538,0.82
27120,2.773076923,2.833076923,0.814615385,0.400769231,2.999230769
27211,4.395384615,2.493846154,1.326153846,0.203076923,4.730769231
27303,2.673846154,1.414615385,1.31,0.035384615,2.762307692
27395,0.975384615,0.046153846,0.103076923,-0.401538462,1.14
27485,-0.343846154,-0.995384615,-1.08,-0.908461538,-0.074615385
27576,-0.552307692,-1.44,-1.344615385,-1.221538462,-0.303076923
27668,-0.334615385,-1.785384615,-1.213846154,-1.345384615,-0.138461538
27760,-0.876153846,-2.129230769,-1.249230769,-1.36,-0.717692308
27851,-0.842307692,-2.013076923,-1.234615385,-1.201538462,-0.705384615
27942,-0.877692308,-1.824615385,-0.819230769,-1.057692308,-0.837692308
28034,-0.855714286,-1.757142857,-0.292857143,-1.003571429,-0.934285714
28126,-0.893333333,-1.55,-0.265833333,-0.873333333,-0.948333333
28216,-0.653076923,-1.317692308,-0.006153846,-0.703076923,-0.729230769
28307,-0.397857143,-0.981428571,0.39,-0.439285714,-0.534285714
28399,-0.14,-0.656923077,0.416153846,-0.14,-0.246923077
28491,-0.016153846,-0.535384615,0.585384615,-0.005384615,-0.212307692
28581,0.417692308,-0.574615385,0.743846154,0.046923077,0.303846154
28672,0.666923077,-0.189230769,0.910769231,0.327692308,0.621538462
28764,1.642307692,0.651538462,1.154615385,0.633846154,1.745384615
28856,1.026923077,0.793076923,1.349230769,0.89,0.878461538
28946,0.687692308,0.553076923,1.632307692,1.052307692,0.300769231
29037,1.635384615,0.702307692,2.031538462,1.134615385,1.453846154
29129,2.346153846,0.866153846,2.459230769,1.238461538,2.177692308
29221,2.643076923,1.123076923,3.136153846,1.348461538,2.39
29312,2.925384615,1.225384615,3.646923077,1.305384615,2.382307692
29403,0.975384615,0.759230769,2.026923077,0.882307692,0.803076923
29495,2.363846154,0.753076923,2.486923077,0.587692308,2.266923077
29587,2.393076923,1.136153846,3.090769231,0.673076923,2.173846154
29677,2.433076923,1.628461538,2.973846154,0.841538462,2.229230769
29768,3.246923077,1.94,3.138461538,0.863076923,3.170769231
29860,2.472307692,1.920769231,3.356923077,0.875384615,2.176923077
29952,1.995384615,1.841538462,3.103846154,0.666923077,1.676153846
30042,2.384615385,1.396923077,3.032307692,0.324615385,2.153076923
30133,2.932307692,0.533076923,2.830769231,-0.01,2.832307692
30225,1.522857143,-0.572857143,1.839285714,-0.371428571,1.435714286
30317,0.120833333,-1.375833333,0.8575,-0.619166667,-0.014166667
30407,-0.136923077,-1.793846154,0.292307692,-0.704615385,-0.166923077
30498,-0.098571429,-1.575714286,0.461428571,-0.590714286,-0.200714286
30590,0.031538462,-1.137692308,0.662307692,-0.336153846,-0.101538462
30682,-0.148461538,-0.702307692,0.312307692,-0.033846154,-0.229230769
30773,0.603076923,-0.435384615,0.403076923,0.271538462,0.64
30864,0.716923077,-0.305384615,0.911538462,0.517692308,0.640769231
30956,-0.051538462,-0.213076923,0.61,0.664615385,-0.2
31048,-0.464615385,-0.03,0.229230769,0.759230769,-0.572307692
31138,-0.451538462,0.164615385,0.221538462,0.79,-0.599230769
31229,-0.331538462,0.167692308,-0.263846154,0.813846154,-0.335384615
31321,-0.3,0.056923077,-0.353076923,0.898461538,-0.27
31413,-0.266923077,0.102307692,-0.294615385,0.866923077,-0.198461538
31503,-0.243846154,0.333076923,-0.312307692,0.801538462,-0.132307692
31594,-0.12,0.927692308,-0.169230769,0.835384615,-0.07
31686,-0.274615385,1.483076923,-0.287692308,0.967692308,-0.192307692
31778,-0.384615385,1.185384615,-0.363076923,0.970769231,-0.265384615
