,COMPAPFFx,GZ spread,ebp_oa,Real GDP growth
26665,-0.433111748,-0.729245029,-0.050000958,2.240154199
26696,-1.035302278,-0.795636404,-0.100754025,2.240154199
26724,-0.834572101,-0.852304318,-0.268585191,2.240154199
26755,0.018531149,-0.892139143,-0.357979798,0.522379841
26785,-1.461853903,-0.832752842,-0.183035513,0.522379841
26816,-1.236032454,-0.695160638,-0.011551665,0.522379841
26846,-2.866965139,-0.910435979,-0.756314478,-1.508373289
26877,-0.608750652,-0.879174528,-0.455064264,-1.508373289
26908,-1.18584991,-1.078244101,-0.724209318,-1.508373289
26938,-2.189500793,-0.611936174,0.142822248,0.348296726
26969,-2.314957153,-0.514387901,0.011902404,0.348296726
26999,-1.687675351,-0.601167179,-0.123439108,0.348296726
27030,-1.988770616,-0.731336096,-0.178229352,-1.932409415
27061,-2.440413514,-0.594162105,0.20857054,-1.932409415
27089,-1.78804044,-0.680941383,-0.3306808,-1.932409415
27120,-1.486945175,-0.666303914,-0.013666376,-0.543882149
27150,-1.236032454,-0.623018828,0.015362841,-0.543882149
27181,-1.888405528,-0.079864191,1.110206471,-0.543882149
27211,-2.490596058,0.632248654,2.001845585,-2.041064794
27242,-0.558568108,0.075188422,1.280152347,-2.041064794
27273,0.043622421,0.325280028,1.420684515,-2.041064794
27303,-1.286214998,0.512744179,1.44163938,-1.33381832
27334,-1.261123726,0.331762335,1.587746695,-1.33381832
27364,1.624372562,0.647199783,1.824594342,-1.33381832
27395,0.645812951,-0.202818927,0.528853154,-2.388098749
27426,0.294535142,-0.295975959,0.592102242,-2.388098749
27454,1.298186025,-0.020373337,0.942952044,-2.388098749
27485,1.549098746,-0.377109357,0.246827587,0.054736652
27515,1.197820937,-0.316154755,0.509628508,0.054736652
27546,0.294535142,-0.450610359,0.301810077,0.054736652
27576,0.545447863,-0.407325274,0.557113385,1.297324059
27607,1.122547121,-0.436286551,0.379285403,1.297324059
27638,1.373459841,-0.492536252,0.380823375,1.297324059
27668,1.323277297,-0.567291895,0.019400017,0.843699269
27699,1.398551113,-0.58370677,0.199150463,0.843699269
27729,1.699646378,-0.655430366,-0.213794948,0.843699269
27760,0.721086767,-0.880638275,-0.349905447,1.961615149
27791,0.896725672,-0.784762856,-0.184573485,1.961615149
27820,1.022182032,-0.845717457,-0.271853381,1.961615149
27851,0.670904223,-0.809437446,-0.169962753,0.078719048
27881,0.369808958,-0.844358264,-0.319530505,0.078719048
27912,0.8716344,-0.847285758,-0.158620212,0.078719048
27942,0.570539135,-0.89297557,-0.228790172,-0.153102042
27973,0.169078782,-0.966267466,-0.374320748,-0.153102042
28004,0.194170054,-1.023039934,-0.436993096,-0.153102042
28034,0.194170054,-0.93981547,-0.300113612,0.067638305
28065,0.068713694,-1.025444661,-0.697102566,0.067638305
28095,0.018531149,-0.734786356,-0.097485835,0.067638305
28126,0.26944387,-0.876874355,-0.681915095,0.638164671
28157,0.194170054,-0.929151028,-0.415653738,0.638164671
28185,0.14398751,-0.946925097,-0.3497132,0.638164671
28216,0.043622421,-1.014152899,-0.508893275,1.585250458
28246,-0.232381571,-1.056078791,-0.497550733,1.585250458
28277,0.068713694,-1.008297912,-0.544843364,1.585250458
28307,-0.081833939,-0.933646822,-0.361247988,1.412217508
28338,-0.357837932,-0.875096948,-0.385278797,1.412217508
28369,-0.106925211,-0.856172792,-0.309533689,1.412217508
28399,0.093804966,-0.86359608,-0.34702175,-0.840547895
28430,0.068713694,-0.86767366,-0.312994125,-0.840547895
28460,0.118896238,-1.048446397,-0.754968753,-0.840547895
28491,0.118896238,-1.078034994,-0.771694195,-0.441371591
28522,-0.056742667,-1.12602498,-0.772078688,-0.441371591
28550,-0.106925211,-1.115151432,-0.781114272,-0.441371591
28581,-0.182199027,-1.110655638,-0.684414299,3.938826744
28611,-0.759298285,-1.073643754,-0.631931014,3.938826744
28642,-0.031651395,-1.228905474,-0.963171676,3.938826744
28672,0.093804966,-1.230996541,-0.780922026,0.418617009
28703,-0.533476836,-1.254207384,-0.841864156,0.418617009
28734,-0.157107755,-1.216359072,-0.718057431,0.418617009
28764,0.043622421,-1.306065844,-1.119083561,0.840760735
28795,0.946908216,-1.20067607,-0.641351091,0.840760735
28825,0.846543128,-1.22284138,-0.927221587,0.840760735
28856,0.445082775,-1.164082399,-0.662113709,-0.616750539
28887,-0.282564115,-1.191475376,-0.748432373,-0.616750539
28915,-0.483294292,-1.211340511,-0.458909193,-0.616750539
28946,-0.408020476,-1.210504085,-0.532731837,-0.708509902
28976,-0.734207013,-1.149235823,-0.640582105,-0.708509902
29007,-1.336397542,-1.115987859,-0.475634636,-0.708509902
29037,-1.512036447,-1.198689556,-0.586560848,0.090210257
29068,-1.31130627,-1.285677941,-0.758236943,0.090210257
29099,0.495265319,-1.165337039,-0.395275613,0.090210257
29129,-1.361488815,-1.154149831,-1.670638675,-0.528284659
29160,0.971999488,-1.095181743,-0.400466267,-0.528284659
29190,-1.361488815,-1.032972502,0.097644329,-0.528284659
29221,-1.963679344,-1.050014697,-0.248014819,-0.447233644
29252,-0.884754645,-0.988328223,-1.103319351,-0.447233644
29281,-0.960028461,-0.906044739,0.352178651,-0.447233644
29312,-4.598262912,-0.752351319,-1.187907796,-3.469316067
29342,-3.745159661,-0.934169589,-0.216678645,-3.469316067
29373,-3.017512771,-0.99543785,-0.325490145,-3.469316067
29403,-1.562218991,-0.96762666,0.005942764,-0.993298444
29434,-0.106925211,-1.014152899,-0.142663755,-0.993298444
29465,0.244352598,-0.961248906,-0.260510839,-0.993298444
29495,-0.734207013,-1.008297912,-0.511776972,1.48724288
29526,-1.687675351,-0.859936713,0.443303476,1.48724288
29556,-2.089135705,-0.770020834,-0.088642498,1.48724288
29587,-6.27937814,-0.782253576,0.571147377,1.604214562
29618,-1.110576094,-0.995333297,0.077842943,1.604214562
29646,-1.9134968,-1.04415971,-0.182074281,1.604214562
29677,-2.917147683,-0.709170786,0.91815225,-1.781502513
29707,-2.415322242,-0.641733878,0.55519092,-1.781502513
29738,-6.981933758,-0.772007348,0.693800623,-1.781502513
29768,-5.125179625,-0.746705438,0.679189891,0.658148339
29799,-1.486945175,-0.859413946,0.377555185,0.658148339
29830,0.545447863,-0.678850316,0.716677953,0.658148339
29860,-0.58365938,-0.499436772,1.04926434,-2.225082961
29891,-2.892056411,-0.331733204,0.422733104,-2.225082961
